"y2009, 1061531429, 1825841742, nit"	1.273
"y2009, 1061531496, 1061531575, aft"	1.396
"y2009, 1061531500, 1061531757, nit"	3.115
"y2009, 1061531509, 1061531777, mor"	3.011
"y2009, 1061531608, 1061531787, aft"	1.667
"y2009, 1061531682, 1061531768, eve"	2.278
"y2009, 1061531790, 1061531847, eve"	2.278
"y2009, 1258875444, 1258875733, eve"	2.313
"y2009, 1692433916, 1692433918, aft"	2.559
"y2009, 1692433932, 1692433935, eve"	3.505
"y2009, 1773076778, 1773078006, aft"	2.047
"y2009, 1773084391, 1773084407, aft"	2.556
"y2009, 1775201764, 6177439749, mor"	0.737
"y2009, 1778676708, 5838916777, aft"	1.06
"y2009, 1825841743, 4557482266, aft"	2.174
"y2009, 1919595911, 1919595914, mor"	3.645
"y2009, 2089938037, 2089938041, mor"	1.201
"y2009, 2433000850, 3778745484, aft"	1.06
"y2009, 2439690425, 2439690435, mor"	2.094
"y2009, 2446054616, 2446054619, mor"	2.094
"y2009, 246579753, 246580736, eve"	3.074
"y2009, 246648063, 402480678, aft"	2.438
"y2009, 248708583, 595105589, aft"	0.805
"y2009, 2708237395, 2844853162, mor"	1.263
"y2009, 276204477, 592643527, nit"	1.987
"y2009, 276207581, 2844418535, aft"	0.722
"y2009, 276299246, 276315696, aft"	0.879
"y2009, 276299308, 276314934, mor"	1.201
"y2009, 277029606, 277031086, mor"	1.201
"y2009, 277030759, 2089937964, mor"	1.201
"y2009, 277617903, 277786880, mor"	1.263
"y2009, 277628606, 277628622, aft"	0.722
"y2009, 277629533, 277629594, mor"	1.263
"y2009, 277743735, 455517898, mor"	1.263
"y2009, 277782923, 599140064, mor"	0.685
"y2009, 277786873, 5524087752, aft"	0.722
"y2009, 277787305, 3324555249, aft"	0.953
"y2009, 2844853158, 3785693707, mor"	1.263
"y2009, 371337150, 5959765086, nit"	0.903
"y2009, 3938689534, 6202762436, nit"	1.037
"y2009, 402475097, 402480678, eve"	3.074
"y2009, 402475097, 4133206254, aft"	2.438
"y2009, 42421741, 42432756, aft"	2.075
"y2009, 42421806, 42437305, eve"	1.983
"y2009, 42421806, 42442475, eve"	1.983
"y2009, 42421877, 42421889, eve"	2.755
"y2009, 42421951, 42421965, mor"	2.445
"y2009, 42421969, 42435250, nit"	1.875
"y2009, 42421996, 42437050, aft"	1.706
"y2009, 42422042, 42428374, nit"	1.584
"y2009, 42422530, 589298584, nit"	1.179
"y2009, 42422545, 42423070, aft"	0.697
"y2009, 42422899, 42454010, nit"	1.085
"y2009, 42423674, 42430394, eve"	2.734
"y2009, 42424032, 42432572, aft"	2.86
"y2009, 42424439, 42435328, mor"	1.999
"y2009, 42426135, 42443118, nit"	0.903
"y2009, 42426138, 5959765086, nit"	0.903
"y2009, 42426374, 3099327964, aft"	1.483
"y2009, 42427305, 42427307, nit"	1.279
"y2009, 42427374, 42439834, aft"	2.375
"y2009, 42427426, 42437890, aft"	2.373
"y2009, 42427427, 42435629, mor"	1.882
"y2009, 42427762, 42432818, aft"	2.5
"y2009, 42427787, 42428223, aft"	3.164
"y2009, 42427812, 42435633, nit"	1.411
"y2009, 42427975, 42427979, nit"	1.279
"y2009, 42428014, 589298178, aft"	15.51
"y2009, 42428020, 42451744, eve"	2.845
"y2009, 42428192, 42428198, aft"	2.717
"y2009, 42428206, 42437881, mor"	1.95
"y2009, 42428216, 42429874, mor"	2.545
"y2009, 42428232, 6223969260, aft"	3.164
"y2009, 42428321, 42428328, mor"	1.671
"y2009, 42428321, 42440020, aft"	2.748
"y2009, 42428385, 42428391, mor"	2.096
"y2009, 42428438, 42428441, aft"	2.217
"y2009, 42428447, 1919595915, eve"	2.16
"y2009, 42428454, 1692433919, aft"	2.417
"y2009, 42428454, 42428458, aft"	2.417
"y2009, 42428480, 42428483, mor"	2.545
"y2009, 42428489, 42446528, nit"	1.969
"y2009, 42428491, 42428493, aft"	2.305
"y2009, 42428575, 42428579, aft"	1.835
"y2009, 42428653, 1061531454, aft"	2.328
"y2009, 42428674, 42428678, aft"	2.991
"y2009, 42428695, 42428701, aft"	2.991
"y2009, 42429094, 42429100, aft"	0.751
"y2009, 42429334, 42447136, aft"	2.238
"y2009, 42429338, 42450030, eve"	1.958
"y2009, 42429374, 42430249, eve"	1.995
"y2009, 42429378, 42432214, eve"	1.946
"y2009, 42429541, 42438228, aft"	0.697
"y2009, 42429646, 42429647, eve"	2.313
"y2009, 42429657, 42439272, nit"	1.343
"y2009, 42429662, 42435610, aft"	2.3
"y2009, 42429682, 42445227, mor"	3.714
"y2009, 42429688, 42445232, mor"	2.069
"y2009, 42429773, 486867513, nit"	1.243
"y2009, 42429844, 42453902, aft"	1.112
"y2009, 42429890, 42446932, aft"	1.218
"y2009, 42429970, 42431649, nit"	1.873
"y2009, 42429971, 42431650, mor"	3.714
"y2009, 42429971, 42445961, mor"	3.714
"y2009, 42429974, 42459114, mor"	1.992
"y2009, 42429976, 42431654, nit"	1.451
"y2009, 42429980, 42431656, eve"	1.489
"y2009, 42429980, 42449982, nit"	1.013
"y2009, 42429986, 42431661, eve"	2.542
"y2009, 42430038, 42430041, nit"	7.527
"y2009, 42430063, 42450009, aft"	1.124
"y2009, 42430102, 42442286, nit"	1.71
"y2009, 42430115, 42430118, eve"	1.952
"y2009, 42430115, 42453059, aft"	2.185
"y2009, 42430136, 3788379733, eve"	1.952
"y2009, 42430217, 42430231, aft"	2.292
"y2009, 42430231, 42430233, nit"	2.144
"y2009, 42430241, 42432194, mor"	2.511
"y2009, 42430253, 42430255, nit"	1.796
"y2009, 42430304, 42430308, nit"	1.33
"y2009, 42430311, 42430314, mor"	2.763
"y2009, 42430311, 42452973, aft"	2.058
"y2009, 42430320, 42445649, aft"	2.66
"y2009, 42430338, 42430342, mor"	2.376
"y2009, 42430350, 42439994, mor"	3.142
"y2009, 42430352, 42443528, mor"	1.671
"y2009, 42430358, 42440001, aft"	2.758
"y2009, 42430378, 42431544, aft"	2.786
"y2009, 42430390, 42430394, aft"	2.083
"y2009, 42430673, 42430677, aft"	1.512
"y2009, 42430761, 42430770, nit"	1.272
"y2009, 42430803, 42430805, aft"	2.502
"y2009, 42430813, 42430818, mor"	3.138
"y2009, 42430818, 42430824, mor"	3.138
"y2009, 42430824, 42430828, aft"	2.422
